config,num_shards,num_client_nodes,num_node_threads,num_txns,thruput,lat_avg,lat_med,lat_99,energy_j
fpga_cluster,1,1,10,501885,50188.5,194.65861302888112,197,315,255.437932
fpga_cluster,1,1,12,527603,52760.3,223.54024332689542,222,355,255.79347800000005
fpga_cluster,1,1,16,503720,50372.0,313.45622965139364,312,455,255.61917599999998
fpga_cluster,1,1,24,488541,48854.1,486.0318049048084,488,672,256.4294
fpga_cluster,1,1,32,497643,49764.3,638.1507245153655,644,837,255.88647200000003
fpga_cluster,1,1,64,478998,47899.8,1328.3370535993888,1333,1633,254.86479100000003
fpga_cluster,1,2,1,265011,26501.1,70.3460950677519,75,143,252.88719500000002
fpga_cluster,1,2,2,460297,46029.7,82.13971414108717,77,197,254.85072799999998
fpga_cluster,1,2,4,586123,58612.3,131.4802729119997,121,267,254.96749
fpga_cluster,1,2,6,505643,50564.3,231.42773063208628,231,359,255.941678
fpga_cluster,1,2,8,520999,52099.9,301.1069944472062,304,443,255.07614700000005
fpga_cluster,1,2,10,466607,46660.7,421.6281495991273,432,578,255.502995
fpga_cluster,1,2,12,534179,53417.9,443.30169287822997,446,643,255.73985800000003
fpga_cluster,1,2,16,504777,50477.7,625.9263120150086,627,905,255.125103
fpga_cluster,1,2,24,497444,49744.4,953.4346780743159,956,1248,255.58499400000002
fpga_cluster,1,2,32,489608,48960.8,1294.1096203493407,1296,1609,255.60807499999999
fpga_cluster,1,2,64,497729,49772.9,2565.2924121359215,2546,2906,255.258887
fpga_cluster,2,1,1,143367,14336.7,64.99776099102304,74,119,255.70948900000002
fpga_cluster,2,1,2,302484,30248.4,62.048035598577115,52,126,255.79704700000002
fpga_cluster,2,1,4,499498,49949.8,76.50048849044441,65,223,255.03578100000004
fpga_cluster,2,1,6,641429,64142.9,90.25494014146538,76,251,253.02099099999998
fpga_cluster,2,1,8,684892,68489.2,113.61321054998453,96,322,253.90823000000006
fpga_cluster,2,1,10,728368,72836.8,133.685266239044,116,372,256.21655799999996
fpga_cluster,2,1,12,819616,81961.6,143.31960942685356,132,344,256.47376399999996
fpga_cluster,2,1,16,789700,78970.0,198.95415600861085,188,457,255.885983
fpga_cluster,2,1,24,861796,86179.6,274.7724589113897,263,612,255.78519599999998
