config,num_shards,num_client_nodes,num_node_threads,num_txns,thruput,lat_avg,lat_med,lat_99,energy_j
fpga_cluster,2,1,4,436995,43699.5,88.09009714069956,78,209,253.16655300000002
fpga_cluster,2,1,6,552915,55291.5,105.02372516571263,93,262,256.258611
fpga_cluster,2,1,8,599241,59924.1,130.0587109360007,110,353,256.476604
fpga_cluster,2,1,10,640996,64099.6,152.63998995313543,138,363,255.51221299999997
fpga_cluster,2,1,12,672233,67223.3,174.8382495355033,159,420,255.858537
fpga_cluster,2,1,16,688723,68872.3,228.69928113334387,218,523,256.079404
fpga_cluster,2,1,24,730532,73053.2,324.31016300449534,315,687,255.95973300000003
fpga_cluster,2,1,32,730410,73041.0,433.4103393984201,418,939,256.706055
fpga_cluster,2,2,1,169807,16980.7,111.14892201146007,108,193,255.79764899999992
fpga_cluster,2,2,2,351160,35116.0,107.78663572160838,98,256,256.98302900000004
fpga_cluster,2,2,4,556546,55654.6,137.90033707905545,121,331,255.88740800000005
fpga_cluster,2,2,6,627966,62796.6,185.27347021972528,165,470,255.786068
fpga_cluster,2,2,8,662889,66288.9,235.12046209848106,215,658,255.84063799999996
fpga_cluster,2,2,10,697851,69785.1,280.16453368985646,271,643,256.43037300000003
fpga_cluster,2,2,12,713175,71317.5,329.46850212079784,320,755,253.79113700000005
fpga_cluster,2,2,16,755151,75515.1,416.1911538222157,406,887,253.41953000000007
fpga_cluster,2,2,24,766776,76677.6,616.5032838795163,588,1313,256.40145399999994
fpga_cluster,2,2,32,758293,75829.3,833.8520466363266,785,1745,256.47361000000006
fpga_cluster,3,1,1,48269,4826.9,200.4588866560318,138,450,256.16909499999997
fpga_cluster,3,1,2,155539,15553.9,123.02194947890882,110,283,256.046516
fpga_cluster,3,1,4,445348,44534.8,86.3482602369383,76,192,253.97961499999997
fpga_cluster,3,1,6,582277,58227.7,99.95044454786982,86,256,256.26131900000007
fpga_cluster,3,1,8,662106,66210.6,117.69764811072547,99,328,256.292488
fpga_cluster,3,1,10,732634,73263.4,133.3738210347868,116,354,255.841815
fpga_cluster,3,1,12,769200,76920.0,152.79090223608944,133,417,256.0082919999999
fpga_cluster,3,1,16,833220,83322.0,188.66618900170423,168,503,256.786364
fpga_cluster,3,1,24,927413,92741.3,255.03846614183757,235,652,253.21438099999995
fpga_cluster,3,1,32,990183,99018.3,319.25172114649513,297,811,256.84864899999997
fpga_cluster,3,2,1,151248,15124.8,125.7554347826087,111,257,256.42809200000005
fpga_cluster,3,2,2,369493,36949.3,102.99104448528118,97,234,253.37819200000007
fpga_cluster,3,2,4,602309,60230.9,127.17713665244916,110,334,255.85602
fpga_cluster,3,2,6,731318,73131.8,158.3800275666673,139,403,255.64685099999997
fpga_cluster,3,2,8,807487,80748.7,192.30566807886692,174,482,256.15794200000005
fpga_cluster,3,2,10,863181,86318.1,225.46527089915094,202,617,255.66844199999997
fpga_cluster,3,2,12,890796,89079.6,263.20865607838385,246,637,256.13277500000004
fpga_cluster,3,2,16,956119,95611.9,328.0474072788011,309,800,256.89102199999996
fpga_cluster,3,2,24,997780,99778.0,473.4580198039648,442,1132,256.3434700000001
fpga_cluster,3,2,32,998724,99872.4,632.3858513463178,555,1545,255.65109600000005
fpga_cluster,4,1,1,37424,3742.4,260.3505504489098,255,477,255.56625300000002
